Semestre;Codigo;Nombre;HT;Creditos;Requisito1;Requisito2;Requisito3;Requisito4
1;CAD102020104;CONTABILIDAD GENERAL;64;4;;;;
1;DNCAI1002020303;DIAGNOSTICO Y NIVELATORIO CIUDADANIA DEL SIGLO 21;0;0;;;;
1;DNCAI1002020612;DIAGNOSTICO Y NIVELATORIO EMPRENDIMIENTO E INNOVACION I;0;0;;;;
1;DNCAI1002020201;DIAGNOSTICO Y NIVELATORIO RAZONAMIENTO LOGICO Y CUANTITATIVO;0;0;;;;
1;CAD102020103;FUNDAMENTOS DE ADMINISTRACION;48;3;;;;
1;CAD102020101;LEGISLACION COMERCIAL;48;3;;;;
1;CAD102020102;LEGISLACION LABORAL;48;3;;;;
1;CAD102020105;MICROECONOMIA;48;3;;;;
2;CAI1002020303;CIUDADANIA DEL SIGLO 21;2;2;DNCAI1002020303;;;
2;CAD102020209;COSTOS Y PRESUPUESTO;64;4;;;;
2;DNCAI1002020202;DIAGNOSTICO Y NIVELATORIO COMUNICACION Y LECTURA CRITICA I;0;0;;;;
2;DNCAI1002020304;DIAGNOSTICO Y NIVELATORIO LENGUA EXTRANJERA I;0;0;;;;
2;CAI1002020612;EMPRENDIMIENTO E INNOVACION I;2;2;DNCAI1002020612;;;
2;CAD102020208;MACROECONOMIA;48;3;CAD102020105;;;
2;CAD102020210;OPTIMIZACION TECNOLOGICA;32;2;;;;
2;CAD102020207;PENSAMIENTO ADMINISTRATIVO Y CONTEMPORANEO;48;3;CAD102020103;;;
2;CAI1002020201;RAZONAMIENTO LOGICO Y CUANTITATIVO;2;2;DNCAI1002020201;;;
3;CAI1002020202;COMUNICACION Y LECTURA CRITICA I;2;2;DNCAI1002020202;;;
3;CAD102020316C;ELECTIVA I;32;2;;;;
3;CAI1002020311;EMPRENDIMIENTO E INNOVACION;32;2;CAI1002020612;;;
3;CAD102020312;LEGISLACION TRIBUTARIA;32;2;CAD102020101;;;
3;CAI1002020304;LENGUA EXTRANJERA I;2;2;DNCAI1002020304;;;
3;CAD102020313;MATEMATICA APLICADA;48;3;CAI1002020201;;;
3;CAD102020314;PROCESOS ORGANIZACIONALES I;48;3;CAD102020207;;;
3;CAD102020315;RESPONSABILIDAD SOCIAL EN LAS ORGANIZACIONES;32;2;;;;
4;CAI1002020305;COMUNICACION Y LECTURA CRITICA II;2;2;CAI1002020202;;;
4;CAD102020421C;ELECTIVA II;32;2;CAD102020316C;;;
4;CAD102020418;EMPRENDIMIENTO Y PROTOTIPADO;32;2;CAI1002020311;;;
4;CAD102020420;GESTION DEL TALENTO HUMANO I;48;3;;;;
4;CAI1002020406;LENGUA EXTRANJERA II;2;2;CAI1002020304;;;
4;CAD102020419;MATEMATICA FINANCIERA;48;3;;;;
4;CAD102020417;PROCESOS ORGANIZACIONALES II;48;3;CAD102020314;;;
5;CAD102020523;ANALISIS FINANCIERO;48;3;CAD102020419;CAI1002020201;CAI1002020202;
5;DNCTI102020628;DIAGNOSTICO Y NIVELATORIO FUNDAMENTOS DE INVESTIGACION;0;0;CAI1002020612;CAI1002020304;CAI1002020303;
5;CAD102020527C;ELECTIVA III;32;2;CAD102020421C;;;
5;CAD102020522;ESTADISTICA I;32;2;CAD102020313;;;
5;CAD102020524;GESTION DEL TALENTO HUMANO II;48;3;CAD102020420;;;
5;CAI1002020507;LENGUA EXTRANJERA III;2;2;CAI1002020406;;;
5;CAD102020526;MARKETING;48;3;;;;
5;CAD102020525;SISTEMAS DE INFORMACION GERENCIAL;48;3;;;;
6;CAD102020631;ADMINISTRACION FINANCIERA;48;3;CAD102020523;;;
6;CAD102020630;DIAGNOSTICO ORGANIZACIONAL;48;3;;;;
6;CAD102020629;ESTADISTICA II;32;2;CAD102020522;;;
6;CTI102020628;FUNDAMENTOS DE INVESTIGACION;32;2;DNCTI102020628;;;
6;CAD102020632;INVESTIGACION DE MERCADOS;48;3;CAD102020526;;;
6;CAI1002020608;LENGUA EXTRANJERA IV;2;2;CAI1002020507;;;
6;CAD102020633;SISTEMAS PRODUCTIVOS;48;3;;;;
7;CAD102020739;ADMINISTRACION DE LA PRODUCCION;48;3;CAD102020633;CAD102020629;CAD102020630;CAD102020631
7;CAI1002020609;CATEDRA GENERACION SIGLO 21;2;1;CTI102020628;CAD102020633;CAI1002020608;CAD102020632
7;CAD102020737;COMPORTAMIENTO ORGANIZACIONAL;48;3;CAD102020524;;;
7;CAD102020740C;ELECTIVA IV;32;2;CAD102020527C;;;
7;CAD102020735;ESTRATEGIA GERENCIAL;48;3;CAD102020630;;;
7;CAD102020736;FINANZAS INTERNACIONALES;32;2;CAD102020631;;;
7;CTI102020734;FORMULACION DEL PROBLEMA Y MARCO DE REFERENCIA;32;2;CTI102020628;;;
7;CAD102020738;GERENCIA DE MARKETING;32;2;CAD102020632;;;
8;CTI102020841;DISEÑO METODOLOGICO Y TRABAJO DE CAMPO;32;2;CTI102020734;;;
8;CAD102020846C;ELECTIVA V;32;2;CAD102020740C;;;
8;CAD102020842;FORMULACION Y EVALUACION DE PROYECTOS;64;4;;;;
8;CAD102020845;MARKETING INTERNACIONAL;48;3;CAD102020738;;;
8;CAD102020843;SEMINARIO DE POLITICA ECONOMICA Y SOCIAL;48;3;CAD102020208;;;
8;CAD102020844;TRANSFERENCIA TECNOLOGICA EN LAS ORGANIZACIONES;48;3;;;;
9;CAD102020948;GERENCIA DEL SERVICIO;48;3;;;;
9;CAD102020947;GESTION DE PROYECTOS;48;3;CAD102020842;;;
9;CAD102020951;OPCION DE GRADO;16;1;;;;
9;CAD102020950C;PROFUNDIZACION;128;8;;;;
9;CAD102020949;SIMULACION GERENCIAL;48;3;;;;
