Semestre;Codigo;Nombre;HT;Creditos;Requisito1;Requisito2;Requisito3;Requisito4;Requisito5;Requisito6;Requisito7
1;CAD142022104;CONTABILIDAD  TEORIA CONTABLE;48;3;;;;;;;
1;DNCAI1002020202;DIAGNOSTICO Y NIVELATORIO COMUNICACION Y LECTURA CRITICA I;;0;;;;;;;
1;DNCAI1002020201;DIAGNOSTICO Y NIVELATORIO RAZONAMIENTO LOGICO Y CUANTITATIVO ;;0;;;;;;;
1;CAD142022101;LEGISLACION COMERCIAL ;48;3;;;;;;;
1;CAD142022102;LEGISLACION LABORAL ;48;3;;;;;;;
1;CAD142022103;MICROECONOMIA ;48;3;;;;;;;
1;CAD142022105;PENSAMIENTO ADMINISTRATIVO ;32;2;;;;;;;
1;CAD142022106;PROCESOS ORGANIZACIONALES;32;2;;;;;;;
2;CAI1002020202;COMUNICACION Y LECTURA CRITICA I;2;2;DNCAI1002020202;;;;;;
2;CAD142022208;CONTABILIDAD  PROCESOS CONTABLES;48;3;CAD142022104;;;;;;
2;DNCAI1002020303;DIAGNOSTICO Y NIVELATORIO CIUDADANIA DEL SIGLO 21;;0;;;;;;;
2;DNCAI1002020304;DIAGNOSTICO Y NIVELATORIO LENGUA EXTRANJERA I;;0;;;;;;;
2;CAD142022211;ETICA MORAL Y FE PUBLICA ;32;2;;;;;;;
2;CAD142022210;GESTION DE LA NEGOCIACION ;32;2;;;;;;;
2;CAD142022207;MACROECONOMIA ;48;3;CAD142022103;;;;;;
2;CAI1002020201;RAZONAMIENTO LOGICO Y CUANTITATIVO ;2;2;DNCAI1002020201;;;;;;
2;CAD142022209;SISTEMA DE INFORMACION GERENCIAL ;32;2;;;;;;;
3;CAI1002020303;CIUDADANIA DEL SIGLO 21 ;2;2;DNCAI1002020303;;;;;;
3;CAI1002020305;COMUNICACION Y LECTURA CRITICA II ;2;2;CAI1002020202;;;;;;
3;CAD142022312;CONTABILIDAD  ESTADOS FINANCIEROS;64;4;CAD142022208;;;;;;
3;CAD142022314;ESTADISTICA I;32;2;;;;;;;
3;CAI1002020304;LENGUA EXTRANJERA I;2;2;DNCAI1002020304;;;;;;
