Semestre;Codigo;Nombre;HT;Creditos;Requisito1;Requisito2;Requisito3;Requisito4
1;CAD612021101;ALGEBRA LINEAL;3;3;;;;
1;DNCAI1002020202;DIAGNOSTICO Y NIVELATORIO COMUNICACION Y LECTURA CRITICA I;0;0;;;;
1;DNCAI1002020201;DIAGNOSTICO Y NIVELATORIO RAZONAMIENTO LOGICO Y CUANTITATIVO;0;0;;;;
1;CAD612021106;FUNDAMENTOS DE ELECTRONICA;4;4;;;;
1;CAD612021103;FUNDAMENTOS DE INGENIERIA;2;2;;;;
1;CAD612021105;MATEMATICAS DISCRETAS;4;2;;;;
1;CAD612021102;PENSAMIENTO ALGORITMICO;6;3;;;;
1;CAD612021104;PENSAMIENTO SISTEMICO Y AUTOMATIZACION;4;2;;;;
2;CAD612021207;CALCULO DIFERENCIAL;4;4;;;;
2;CAI1002020202;COMUNICACION Y LECTURA CRITICA I;2;2;DNCAI1002020202;;;
2;DNCAI1002020303;DIAGNOSTICO Y NIVELATORIO CIUDADANIA DEL SIGLO 21;0;0;;;;
2;DNCAI1002020304;DIAGNOSTICO Y NIVELATORIO LENGUA EXTRANJERA I;0;0;;;;
2;CAD652022202;ESTADISTICA PROBABILIDAD E INFERENCIA;4;2;;;;
2;CAD652022201;FISICA MECANICA;3;3;;;;
2;CAD612021209;PROGRAMACION I;6;3;;;;
2;CAI1002020201;RAZONAMIENTO LOGICO Y CUANTITATIVO;2;2;DNCAI1002020201;;;
3;CAD612021311;CALCULO INTEGRAL;4;4;CAD612021207;;;
3;CAI1002020303;CIUDADANIA DEL SIGLO 21;2;2;DNCAI1002020303;;;
3;CAI1002020305;COMUNICACION Y LECTURA CRITICA II;2;2;CAI1002020202;;;
3;CAD612021312;FISICA II;4;4;CAD652022201;;;
3;CAI1002020304;LENGUA EXTRANJERA I;2;2;DNCAI1002020304;;;
3;CAD652022302;PROGRAMACION II;4;4;CAD612021209;;;
4;CAD612021414;CALCULO MULTIVARIADO;4;4;;;;
4;CAD662024403;CIENCIA DE LOS MATERIALES;4;2;;;;
4;CAD662024404;DIBUJO MECANICO  CAD Y TALLER MECANICO;4;2;;;;
4;CAD662024402;ELECTRONICA Y LABORATORIO;4;2;;;;
4;CAD662024401;ESTATICA Y DINAMICA;6;3;;;;
4;CAD612021415;FISICA III;6;3;CAD612021312;;;
4;CAI1002020406;LENGUA EXTRANJERA II;2;2;CAI1002020304;;;
5;DNCAI1002020613;DIAGNOSTICO Y NIVELATORIO CIENCIA TECNOLOGIA E INNOVACION I;0;0;CAI1002020201;CAI1002020304;CAI1002020303;CAI1002020202
5;DNCAI1002020612;DIAGNOSTICO Y NIVELATORIO EMPRENDIMIENTO E INNOVACION I;0;0;CAI1002020201;CAI1002020304;CAI1002020303;CAI1002020202
5;CAD662024507;DISEÑOS DE EXPERIMENTOS;4;2;;;;
5;CAD622024418;ECUACIONES DIFERENCIALES;6;3;;;;
5;CAD662024508;ELECTRONICA DIGITAL Y LABORATORIO;6;3;;;;
5;CAI1002020507;LENGUA EXTRANJERA III;2;2;CAI1002020406;;;
5;CAD662024505;MATEMATICAS ESPECIALES;4;2;;;;
5;CAD662024506;MECANISMOS;4;2;;;;
5;CAD662024509;RESISTENCIA DE MATERIALES;4;2;;;;
6;CAI1002020609;CATEDRA GENERACION SIGLO 21;2;1;;;;
6;CAI1002020613;CIENCIA TECNOLOGIA E INNOVACION I;2;2;DNCAI1002020613;;;
6;CAD622024729;ELECTRONICA DE POTENCIA;6;3;;;;
6;CAI1002020612;EMPRENDIMIENTO E INNOVACION I;2;2;DNCAI1002020612;;;
6;CAI1002020608;LENGUA EXTRANJERA IV;2;2;CAI1002020507;;;
6;CAD662024610;PROFUNDIZACION I SISTEMAS ENERGETICOS;4;2;;;;
6;CAD662024611;PROFUNDIZACION II REDES DE COMUNICACIONES INDUSTRIALES;4;2;;;;
6;CAD662024614;SENSORES Y ACTUADORES;4;2;;;;
6;CAD662024612;SISTEMAS DINAMICOS;4;2;;;;
